isbn,id,authors,timestamp,publisher,title,cover,series,tags,languages
"5-9757-0073-6","117","Джеймс Ли Берк","2014-09-15T16:46:38+03:00","У-Фактория","Пленники небес","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Li Bierk\Plienniki niebies (117)\cover.jpg","Робишо","det_police","rus"
"","118","Джеймс Ли Берк","2014-09-15T16:46:39+03:00","У-Фактория","Неоновый дождь","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Li Bierk\Nieonovyi dozhd' (118)\cover.jpg","Робишо","det_police","rus"
"5-9709-0071-0","119","Джеймс У. Холл","2014-09-15T16:46:48+03:00","У-Фактория","Под покровом дня","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims U. Kholl\Pod pokrovom dnia (119)\cover.jpg","Торн","thriller","rus"
"978-5-9757-0135-0","120","Джеймс Эллрой","2014-09-15T16:46:55+03:00","У-Фактория","Секреты Лос-Анджелеса","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Ellroi\Siekriety Los-Andzhieliesa (120)\cover.jpg","Лос-анджелесский квартет","det_police","rus"
"978-5-9757-0138-1","121","Джеймс Эллрой","2014-09-15T16:46:56+03:00","У-Фактория","Белый джаз","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Ellroi\Bielyi dzhaz (121)\cover.jpg","Лос-анджелесский квартет","det_police","rus"
"5-9709-0107-5","122","Джеймс Эллрой","2014-09-15T16:46:56+03:00","У-Фактория","Черная Орхидея","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Ellroi\Chiernaia Orkhidieia (122)\cover.jpg","Лос-анджелесский квартет","det_police","rus"
"","123","Джеймс Эллрой","2014-09-15T16:46:56+03:00","У-Фактория","Город греха","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Ellroi\Gorod ghriekha (123)\cover.jpg","Лос-анджелесский квартет","det_police","rus"
"","124","Джереми Камерон","2014-09-15T16:47:05+03:00","","Чисто случайно","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieriemi Kamieron\Chisto sluchaino (124)\cover.jpg","Ники Беркетт","det_hard, det_crime","rus"
"5-94799-379-1","125","Джереми Камерон","2014-09-15T16:47:07+03:00","У-Фактория","Убили Винни","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieriemi Kamieron\Ubili Vinni (125)\cover.jpg","Нуар","det_crime","rus"
"5-94799-275-2","126","Джим Томпсон","2014-09-15T16:47:15+03:00","Б.С.Г.-Пресс, У-Фактория","Убийца во мне","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhim Tompson\Ubiitsa vo mnie (126)\cover.jpg","Нуар","thriller","rus"
